ArabidopsisGeneID, CottonGeneID, Identity%, Similarity%
>AT1G17250.1,>GhD11G339300,25.1%,38.5%
>AT1G17250.1,>GhA10G097800,23.1%,36.0%
>AT1G17250.1,>GhD02G133200,25.1%,35.6%
>AT1G17250.1,>GhA13G228700,23.4%,35.8%
>AT1G17250.1,>GhA11G332000,25.4%,38.3%
>AT1G17250.1,>GhA09G067500,25.3%,37.1%
>AT1G17250.1,>GhA04G007700,24.6%,37.7%
>AT1G17250.1,>GhD12G159200,24.7%,37.7%
>AT1G17250.1,>GhA11G334000,25.6%,39.0%
>AT1G17250.1,>GhA11G283300,24.4%,37.3%
>AT1G17250.1,>GhD05G365900,23.8%,37.0%
>AT1G17250.1,>GhD05G396500,24.8%,37.9%
>AT1G17250.1,>GhD11G317300,27.9%,40.2%
>AT1G17250.1,>GhD11G339500,26.4%,39.9%
>AT1G17250.1,>GhA02G081100,24.8%,37.7%
>AT1G17250.1,>GhD01G046400,22.7%,33.3%
>AT1G17250.1,>GhA04G033800,24.7%,39.5%
>AT1G17250.1,>GhA10G123500,25.1%,36.7%
>AT1G17250.1,>GhD02G031000,25.2%,41.2%
>AT1G17250.1,>GhD05G367500,23.8%,35.8%
>AT1G17250.1,>GhD10G133200,25.2%,38.2%
>AT1G17250.1,>GhD02G031100,25.9%,40.7%
>AT1G17250.1,>GhA08G051200,26.1%,39.6%
>AT1G17250.1,>GhA05G269500,26.0%,39.4%
>AT1G17250.1,>GhA04G049200,20.5%,29.7%
>AT1G17250.1,>GhA04G007600,24.4%,34.6%
>AT1G17250.1,>GhA01G011400,31.2%,43.6%
>AT1G17250.1,>GhD01G049600,28.1%,41.3%
>AT1G17250.1,>GhD13G066900,25.2%,38.9%
>AT1G17250.1,>GhA13G229300,25.5%,37.9%
>AT1G17250.1,>GhD02G220600,34.2%,50.1%
>AT1G17250.1,>GhD05G397800,24.9%,36.3%
>AT1G17250.1,>GhD05G396100,23.8%,34.6%
>AT1G17250.1,>GhA07G032400,18.9%,29.2%
>AT1G17250.1,>GhD07G033800,18.0%,31.5%
>AT1G17250.1,>GhD02G030300,23.2%,37.2%
>AT1G17250.1,>GhD05G397600,20.9%,32.5%
>AT1G17250.1,>GhD02G131200, 7.6%,12.0%
>AT1G17250.1,>GhA10G019500,15.3%,23.6%
>AT1G17250.1,>GhD09G084700,18.1%,28.8%
>AT1G17250.1,>GhD10G028400,15.3%,22.5%
>AT1G17250.1,>GhD11G147600,22.9%,35.0%
>AT1G17250.1,>GhA09G089700, 7.4%,11.2%
>AT1G17250.1,>GhA03G115900, 7.4%,12.2%
>AT1G17250.1,>GhA05G085800,18.8%,32.6%
>AT1G17250.1,>GhA05G396900,24.8%,36.6%
>AT1G17250.1,>GhD05G097500,17.9%,30.1%
>AT1G17250.1,>GhD04G021200,22.7%,35.3%
>AT1G17250.1,>GhD05G395100,22.8%,33.3%
>AT1G17250.1,>GhA02G024800,17.2%,26.1%
>AT1G17250.1,>GhA06G154300,16.9%,24.1%
>AT1G17250.1,>GhA05G139400,16.5%,24.1%
>AT1G17250.1,>GhA04G034300,19.2%,27.9%
>AT1G17250.1,>GhA04G008600,13.9%,20.3%
>AT1G17250.1,>GhA08G221500,16.8%,24.9%
>AT1G17250.1,>GhA04G034600,13.2%,19.6%
>AT1G17250.1,>GhA07G096900,10.7%,15.7%
>AT1G17250.1,>GhD05G155100,12.4%,17.6%
>AT1G17250.1,>GhD10G138600,13.4%,20.0%
>AT1G17250.1,>GhA07G216400,12.3%,18.1%
>AT1G17250.1,>GhD02G030600,10.9%,17.7%
>AT1G17250.1,>GhD02G078300,16.0%,22.6%
>AT1G17250.1,>GhD05G396200,10.1%,14.9%
>AT1G17250.1,>GhD01G010800,12.2%,16.8%
>AT1G17250.1,>GhA04G048600,10.6%,14.9%
>AT1G17250.1,>GhA07G216700, 9.1%,13.9%
>AT1G17250.1,>GhD02G030200,10.0%,14.4%
>AT1G17250.1,>GhA01G053700, 8.5%,12.7%
>AT1G17250.1,>GhA04G008300,22.5%,34.5%
>AT1G17250.1,>GhD02G032100,20.3%,32.5%
>AT1G28340.1,>GhA03G106700,15.2%,24.4%
>AT1G28340.1,>GhD01G046100,11.0%,18.6%
>AT1G28340.1,>GhA02G156900,12.6%,22.1%
>AT1G28340.1,>GhA02G180200,11.8%,16.6%
>AT1G28340.1,>GhD06G224500,10.7%,17.7%
>AT1G28340.1,>GhA03G076200,12.6%,21.4%
>AT1G28340.1,>GhA03G127200,12.2%,17.8%
>AT1G28340.1,>GhA04G007800,14.1%,22.7%
>AT1G28340.1,>GhD01G092200,16.5%,27.3%
>AT1G28340.1,>GhA04G008400,11.9%,20.2%
>AT1G28340.1,>GhD05G389300,12.5%,21.6%
>AT1G28340.1,>GhD05G398200,12.5%,19.2%
>AT1G28340.1,>GhA04G129800,16.5%,26.8%
>AT1G28340.1,>GhD04G025800,13.7%,23.1%
>AT1G28340.1,>GhA05G008200,12.4%,20.7%
>AT1G28340.1,>GhA05G397500,17.6%,28.3%
>AT1G28340.1,>GhD11G221500,11.6%,17.5%
>AT1G28340.1,>GhD09G178000,11.9%,20.1%
>AT1G28340.1,>GhA06G196800,12.5%,20.1%
>AT1G28340.1,>GhD08G020700,12.8%,21.7%
>AT1G28340.1,>GhD08G021100,14.8%,23.6%
>AT1G28340.1,>GhA07G164200,17.2%,25.4%
>AT1G28340.1,>GhD08G025300,15.1%,24.2%
>AT1G28340.1,>GhA07G194800,13.1%,22.3%
>AT1G28340.1,>GhD08G025400,15.7%,26.2%
>AT1G28340.1,>GhA08G025800,17.6%,26.3%
>AT1G28340.1,>GhD13G171600,14.0%,23.0%
>AT1G28340.1,>GhA08G245600,12.3%,21.8%
>AT1G28340.1,>GhD10G132600, 8.9%,13.7%
>AT1G28340.1,>GhA09G028900,11.9%,18.5%
>AT1G28340.1,>GhD10G132400, 8.7%,13.9%
>AT1G28340.1,>GhA09G136100,19.1%,30.5%
>AT1G28340.1,>GhD03G032100,11.7%,16.6%
>AT1G28340.1,>GhA10G027700,12.5%,20.2%
>AT1G28340.1,>GhD11G337700,16.1%,25.7%
>AT1G28340.1,>GhA10G140000,11.0%,19.5%
>AT1G28340.1,>GhD04G169800,17.7%,28.4%
>AT1G28340.1,>GhD05G346300, 8.5%,13.0%
>AT1G28340.1,>GhA11G075300,16.5%,29.6%
>AT1G28340.1,>GhA11G229300,11.6%,17.6%
>AT1G28340.1,>GhD08G236900,12.2%,20.2%
>AT1G28340.1,>GhA11G292000,17.6%,30.1%
>AT1G28340.1,>GhD05G388100,13.3%,23.8%
>AT1G28340.1,>GhA12G092200,12.0%,17.5%
>AT1G28340.1,>GhD07G163000,16.3%,22.8%
>AT1G28340.1,>GhD07G095200,11.6%,18.0%
>AT1G28340.1,>GhD13G060700,11.0%,16.8%
>AT1G28340.1,>GhD03G057700,12.6%,22.5%
>AT1G28340.1,>GhD13G232900,12.5%,20.5%
>AT1G28340.1,>GhD10G173100,13.2%,21.6%
>AT1G28340.1,>GhD06G069300,19.4%,30.3%
>AT1G28340.1,>GhD12G090600,11.7%,17.3%
>AT1G28340.1,>GhD06G155600,16.6%,28.1%
>AT1G28340.1,>GhD02G148100,11.1%,17.3%
>AT1G28340.1,>GhD02G148100,11.1%,17.3%
>AT1G28340.1,>GhD01G245400,12.9%,19.3%
>AT1G28340.1,>GhD01G245500,13.4%,20.9%
>AT1G28340.1,>GhA11G283800,14.8%,22.6%
>AT1G28340.1,>GhD11G338300,12.3%,19.8%
>AT1G28340.1,>GhD11G338200,12.4%,20.0%
>AT1G28340.1,>GhA13G063200,17.8%,29.7%
>AT1G28340.1,>GhD09G026100,13.7%,19.7%
>AT1G28340.1,>GhD05G013900,11.8%,20.6%
>AT1G28340.1,>GhA01G050700,17.5%,29.2%
>AT1G28340.1,>GhD02G027900,11.9%,19.6%
>AT1G28340.1,>GhD02G027800,10.1%,16.3%
>AT1G28340.1,>GhD11G075500,16.5%,28.7%
>AT1G28340.1,>GhA10G123000,11.7%,18.6%
>AT1G28340.1,>GhA01G256300,10.8%,18.1%
>AT1G28340.1,>GhD05G336900,13.9%,23.1%
>AT1G28340.1,>GhA10G135100,13.8%,24.6%
>AT1G28340.1,>GhA01G256200,13.3%,20.4%
>AT1G28340.1,>GhD04G152700,13.1%,21.7%
>AT1G28340.1,>GhA04G049100,11.5%,18.2%
>AT1G28340.1,>GhD08G020800,13.9%,24.6%
>AT1G28340.1,>GhA04G113800,14.1%,23.1%
>AT1G28340.1,>GhA04G049500,15.1%,24.8%
>AT1G28340.1,>GhD02G031400,17.1%,29.4%
>AT1G28340.1,>GhD04G152900,14.7%,23.0%
>AT1G28340.1,>GhD02G031600,12.0%,20.3%
>AT1G28340.1,>GhD05G397000,15.6%,28.0%
>AT1G28340.1,>GhA13G170200,14.8%,24.8%
>AT1G28340.1,>GhD05G396600,14.8%,24.3%
>AT1G28340.1,>GhA13G228800,12.6%,19.6%
>AT1G28340.1,>GhD01G250500,11.0%,18.4%
>AT1G28340.1,>GhD01G250400,10.9%,17.8%
>AT1G28340.1,>GhD01G248400, 9.8%,16.3%
>AT1G28340.1,>GhD04G152600,14.9%,23.5%
>AT1G28340.1,>GhD10G138900,15.4%,26.1%
>AT1G28340.1,>GhD10G036800,12.2%,20.2%
>AT1G28340.1,>GhD01G046300,10.6%,18.1%
>AT1G28340.1,>GhD06G224700, 8.6%,15.3%
>AT1G28340.1,>GhD02G031500,10.4%,19.1%
>AT1G28340.1,>GhD07G192700,10.9%,16.7%
>AT1G28340.1,>GhA11G356600, 8.9%,14.4%
>AT1G28340.1,>GhA02G027000, 8.7%,15.8%
>AT1G28340.1,>GhD10G132500,12.5%,21.2%
>AT1G28340.1,>GhA05G356600, 8.3%,14.4%
>AT1G28340.1,>GhD06G224800,11.2%,19.6%
>AT1G28340.1,>GhD05G397900,11.5%,18.3%
>AT1G28340.1,>GhA01G251300,12.7%,19.4%
>AT1G28340.1,>GhA01G254200,11.8%,19.0%
>AT1G28340.1,>GhD05G395300,12.2%,20.0%
>AT1G28340.1,>GhD05G396900,11.4%,20.4%
>AT1G28340.1,>GhA08G025700,14.1%,23.1%
>AT1G28340.1,>GhD05G395000,14.1%,24.6%
>AT1G28340.1,>GhD02G045600,13.9%,23.1%
>AT1G28340.1,>GhD07G213600,14.1%,23.8%
>AT1G28340.1,>GhA11G333100,14.3%,22.1%
>AT1G28340.1,>GhA11G297300,12.5%,21.4%
>AT1G28340.1,>GhD09G061000,13.1%,20.3%
>AT1G28340.1,>GhD03G121200,12.2%,21.5%
>AT1G28340.1,>GhD05G367000,13.6%,21.5%
>AT1G28340.1,>GhD11G339300,15.8%,24.4%
>AT1G28340.1,>GhA10G097800,12.7%,22.8%
>AT1G28340.1,>GhD02G133200,15.4%,25.5%
>AT1G28340.1,>GhA13G228700,13.4%,22.6%
>AT1G28340.1,>GhA11G332000,12.2%,19.8%
>AT1G28340.1,>GhA09G067500,14.8%,23.6%
>AT1G28340.1,>GhA04G007700,15.5%,25.3%
>AT1G28340.1,>GhD12G159200,11.7%,20.4%
>AT1G28340.1,>GhA11G334000,14.7%,23.7%
>AT1G28340.1,>GhA11G283300,14.4%,23.5%
>AT1G28340.1,>GhD05G365900,12.7%,20.8%
>AT1G28340.1,>GhD05G396500,16.0%,26.2%
>AT1G28340.1,>GhD11G317300,14.3%,23.3%
>AT1G28340.1,>GhD11G339500,16.1%,28.4%
>AT1G28340.1,>GhA02G081100,12.3%,19.7%
>AT1G28340.1,>GhD01G046400,15.6%,26.2%
>AT1G28340.1,>GhA04G033800,12.6%,21.6%
>AT1G28340.1,>GhA10G123500,14.3%,23.5%
>AT1G28340.1,>GhD02G031000,15.2%,27.1%
>AT1G28340.1,>GhD05G367500,15.7%,26.1%
>AT1G28340.1,>GhD10G133200,11.4%,19.2%
>AT1G28340.1,>GhD02G031100,13.5%,22.7%
>AT1G28340.1,>GhA08G051200,15.9%,26.6%
>AT1G28340.1,>GhA05G269500,16.5%,27.0%
>AT1G28340.1,>GhA04G049200, 8.7%,14.2%
>AT1G28340.1,>GhA04G007600,13.6%,22.6%
>AT1G28340.1,>GhA01G011400,15.7%,25.0%
>AT1G28340.1,>GhD01G049600,17.3%,27.0%
>AT1G28340.1,>GhD13G066900,15.5%,26.3%
>AT1G28340.1,>GhA13G229300, 9.8%,15.6%
>AT1G28340.1,>GhD02G220600,14.1%,22.3%
>AT1G28340.1,>GhD05G397800,17.3%,29.0%
>AT1G28340.1,>GhD05G396100,17.0%,29.8%
>AT1G28340.1,>GhA07G032400, 6.7%,12.5%
>AT1G28340.1,>GhD07G033800, 6.6%,12.5%
>AT1G28340.1,>GhD02G030300,20.2%,33.1%
>AT1G28340.1,>GhD05G397600,17.0%,29.7%
>AT1G28340.1,>GhD02G131200,32.3%,48.1%
>AT1G28340.1,>GhA10G019500,73.5%,85.6%
>AT1G28340.1,>GhD09G084700,71.7%,83.6%
>AT1G28340.1,>GhD10G028400,74.1%,85.6%
>AT1G28340.1,>GhD11G147600,15.3%,25.7%
>AT1G28340.1,>GhA09G089700,70.3%,83.0%
>AT1G28340.1,>GhA03G115900,32.4%,49.5%
>AT1G28340.1,>GhA05G085800,24.5%,40.5%
>AT1G28340.1,>GhA05G396900,19.5%,31.5%
>AT1G28340.1,>GhD05G097500,24.8%,39.9%
>AT1G28340.1,>GhD04G021200,17.9%,32.8%
>AT1G28340.1,>GhD05G395100,18.9%,32.2%
>AT1G28340.1,>GhA02G024800,13.9%,22.5%
>AT1G28340.1,>GhA06G154300,17.5%,27.7%
>AT1G28340.1,>GhA05G139400,17.7%,26.1%
>AT1G28340.1,>GhA04G034300, 8.4%,12.9%
>AT1G28340.1,>GhA04G008600,15.0%,25.9%
>AT1G28340.1,>GhA08G221500,13.2%,22.0%
>AT1G28340.1,>GhA04G034600,13.7%,22.0%
>AT1G28340.1,>GhA07G096900,10.2%,15.2%
>AT1G28340.1,>GhD05G155100,11.6%,17.6%
>AT1G28340.1,>GhD10G138600,11.1%,18.5%
>AT1G28340.1,>GhA07G216400,12.2%,19.8%
>AT1G28340.1,>GhD02G030600, 9.6%,15.0%
>AT1G28340.1,>GhD02G078300,13.1%,21.1%
>AT1G28340.1,>GhD05G396200,12.7%,21.6%
>AT1G28340.1,>GhD01G010800,10.1%,15.4%
>AT1G28340.1,>GhA04G048600,12.4%,19.3%
>AT1G28340.1,>GhA07G216700,11.2%,16.3%
>AT1G28340.1,>GhD02G030200, 8.9%,14.5%
>AT1G28340.1,>GhA01G053700, 8.5%,12.1%
>AT1G28340.1,>GhA04G008300,12.7%,19.5%
>AT1G28340.1,>GhD02G032100,11.4%,19.0%
>AT1G34290.1,>GhA03G106700, 7.3%,11.5%
>AT1G34290.1,>GhD01G046100, 7.9%,12.2%
>AT1G34290.1,>GhA02G156900, 7.1%,10.1%
>AT1G34290.1,>GhA02G180200,17.6%,33.1%
>AT1G34290.1,>GhD06G224500, 4.9%, 7.7%
>AT1G34290.1,>GhA03G076200, 6.2%, 9.9%
>AT1G34290.1,>GhA03G127200,21.3%,35.8%
>AT1G34290.1,>GhA04G007800, 7.6%,12.1%
>AT1G34290.1,>GhD01G092200, 6.8%,11.1%
>AT1G34290.1,>GhA04G008400, 6.1%, 9.0%
>AT1G34290.1,>GhD05G389300, 7.4%,10.8%
>AT1G34290.1,>GhD05G398200, 4.6%, 9.0%
>AT1G34290.1,>GhA04G129800, 8.6%,14.6%
>AT1G34290.1,>GhD04G025800, 9.6%,15.8%
>AT1G34290.1,>GhA05G008200, 8.1%,14.7%
>AT1G34290.1,>GhA05G397500, 9.5%,16.9%
>AT1G34290.1,>GhD11G221500,19.9%,33.8%
>AT1G34290.1,>GhD09G178000, 5.5%, 9.3%
>AT1G34290.1,>GhA06G196800, 4.7%, 8.2%
>AT1G34290.1,>GhD08G020700, 6.0%, 9.9%
>AT1G34290.1,>GhD08G021100, 6.9%,11.1%
>AT1G34290.1,>GhA07G164200,14.1%,21.9%
>AT1G34290.1,>GhD08G025300, 6.7%,10.6%
>AT1G34290.1,>GhA07G194800, 6.4%, 9.7%
>AT1G34290.1,>GhD08G025400, 5.1%,10.6%
>AT1G34290.1,>GhA08G025800, 8.9%,15.7%
>AT1G34290.1,>GhD13G171600, 7.2%,13.0%
>AT1G34290.1,>GhA08G245600, 7.2%,11.7%
>AT1G34290.1,>GhD10G132600, 5.3%, 8.8%
>AT1G34290.1,>GhA09G028900,14.6%,27.2%
>AT1G34290.1,>GhD10G132400, 5.4%, 8.6%
>AT1G34290.1,>GhA09G136100,10.3%,16.3%
>AT1G34290.1,>GhD03G032100,18.2%,31.9%
>AT1G34290.1,>GhA10G027700,10.3%,16.7%
>AT1G34290.1,>GhD11G337700, 6.0%,10.3%
>AT1G34290.1,>GhA10G140000, 6.0%, 9.0%
>AT1G34290.1,>GhD04G169800, 8.9%,14.4%
>AT1G34290.1,>GhD05G346300, 5.0%, 8.1%
>AT1G34290.1,>GhA11G075300,10.1%,16.9%
>AT1G34290.1,>GhA11G229300,20.2%,34.1%
>AT1G34290.1,>GhD08G236900, 7.3%,11.8%
>AT1G34290.1,>GhA11G292000, 7.4%,11.7%
>AT1G34290.1,>GhD05G388100, 7.6%,11.6%
>AT1G34290.1,>GhA12G092200,17.5%,29.5%
>AT1G34290.1,>GhD07G163000,14.4%,21.8%
>AT1G34290.1,>GhD07G095200, 4.8%, 8.0%
>AT1G34290.1,>GhD13G060700,15.6%,27.6%
>AT1G34290.1,>GhD03G057700, 7.0%,10.5%
>AT1G34290.1,>GhD13G232900, 5.5%, 8.5%
>AT1G34290.1,>GhD10G173100, 5.0%, 8.4%
>AT1G34290.1,>GhD06G069300,12.1%,19.7%
>AT1G34290.1,>GhD12G090600,19.7%,32.5%
>AT1G34290.1,>GhD06G155600,11.9%,21.7%
>AT1G34290.1,>GhD02G148100,20.6%,38.1%
>AT1G34290.1,>GhD02G148100,20.6%,38.1%
>AT1G34290.1,>GhD01G245400, 4.1%, 8.1%
>AT1G34290.1,>GhD01G245500, 6.5%,11.5%
>AT1G34290.1,>GhA11G283800, 7.0%,11.5%
>AT1G34290.1,>GhD11G338300, 4.3%, 8.0%
>AT1G34290.1,>GhD11G338200, 7.0%,10.6%
>AT1G34290.1,>GhA13G063200, 8.9%,15.3%
>AT1G34290.1,>GhD09G026100,18.5%,33.5%
>AT1G34290.1,>GhD05G013900, 7.2%,10.9%
>AT1G34290.1,>GhA01G050700, 7.6%,14.0%
>AT1G34290.1,>GhD02G027900, 5.8%,10.1%
>AT1G34290.1,>GhD02G027800, 5.8%,10.0%
>AT1G34290.1,>GhD11G075500,10.0%,16.4%
>AT1G34290.1,>GhA10G123000, 5.2%, 8.8%
>AT1G34290.1,>GhA01G256300, 4.6%, 8.1%
>AT1G34290.1,>GhD05G336900, 4.8%, 7.9%
>AT1G34290.1,>GhA10G135100, 5.9%,10.6%
>AT1G34290.1,>GhA01G256200, 8.1%,13.9%
>AT1G34290.1,>GhD04G152700,13.3%,23.3%
>AT1G34290.1,>GhA04G049100, 5.1%, 8.3%
>AT1G34290.1,>GhD08G020800, 5.0%, 8.2%
>AT1G34290.1,>GhA04G113800, 5.4%, 9.2%
>AT1G34290.1,>GhA04G049500, 5.4%, 9.4%
>AT1G34290.1,>GhD02G031400, 9.0%,14.6%
>AT1G34290.1,>GhD04G152900, 5.0%, 8.2%
>AT1G34290.1,>GhD02G031600, 5.6%, 9.5%
>AT1G34290.1,>GhD05G397000, 9.4%,14.3%
>AT1G34290.1,>GhA13G170200, 5.7%, 9.0%
>AT1G34290.1,>GhD05G396600, 5.1%, 8.2%
>AT1G34290.1,>GhA13G228800, 6.9%,10.1%
>AT1G34290.1,>GhD01G250500, 6.0%,10.0%
>AT1G34290.1,>GhD01G250400, 4.0%, 7.6%
>AT1G34290.1,>GhD01G248400, 5.6%, 8.8%
>AT1G34290.1,>GhD04G152600, 4.9%, 8.5%
>AT1G34290.1,>GhD10G138900, 6.4%,11.0%
>AT1G34290.1,>GhD10G036800, 9.8%,17.0%
>AT1G34290.1,>GhD01G046300, 6.2%, 9.7%
>AT1G34290.1,>GhD06G224700, 4.6%, 8.3%
>AT1G34290.1,>GhD02G031500, 5.6%, 9.1%
>AT1G34290.1,>GhD07G192700, 6.1%, 9.7%
>AT1G34290.1,>GhA11G356600, 4.1%, 8.1%
>AT1G34290.1,>GhA02G027000, 4.3%, 7.6%
>AT1G34290.1,>GhD10G132500, 5.7%, 8.9%
>AT1G34290.1,>GhA05G356600, 6.3%, 9.9%
>AT1G34290.1,>GhD06G224800, 6.9%,11.9%
>AT1G34290.1,>GhD05G397900, 5.7%, 8.8%
>AT1G34290.1,>GhA01G251300, 5.4%,10.0%
>AT1G34290.1,>GhA01G254200, 5.7%, 9.6%
>AT1G34290.1,>GhD05G395300, 6.4%, 9.1%
>AT1G34290.1,>GhD05G396900, 6.3%, 9.7%
>AT1G34290.1,>GhA08G025700, 6.8%,11.7%
>AT1G34290.1,>GhD05G395000, 6.7%, 9.7%
>AT1G34290.1,>GhD02G045600, 4.8%, 8.3%
>AT1G34290.1,>GhD07G213600, 7.8%,12.0%
>AT1G34290.1,>GhA11G333100, 5.5%, 9.1%
>AT1G34290.1,>GhA11G297300, 7.2%,10.6%
>AT1G34290.1,>GhD09G061000, 5.2%, 8.2%
>AT1G34290.1,>GhD03G121200, 6.0%, 9.6%
>AT1G34290.1,>GhD05G367000, 7.0%,11.3%
>AT1G34290.1,>GhD11G339300, 6.3%, 9.9%
>AT1G34290.1,>GhA10G097800, 5.8%,10.0%
>AT1G34290.1,>GhD02G133200, 6.9%,11.2%
>AT1G34290.1,>GhA13G228700, 6.4%, 9.8%
>AT1G34290.1,>GhA11G332000, 7.9%,13.2%
>AT1G34290.1,>GhA09G067500, 5.2%, 8.5%
>AT1G34290.1,>GhA04G007700, 5.6%, 9.6%
>AT1G34290.1,>GhD12G159200, 6.3%,10.3%
>AT1G34290.1,>GhA11G334000, 6.1%, 9.7%
>AT1G34290.1,>GhA11G283300, 6.7%,10.8%
>AT1G34290.1,>GhD05G365900, 5.6%, 8.3%
>AT1G34290.1,>GhD05G396500, 7.3%,10.9%
>AT1G34290.1,>GhD11G317300, 6.8%,10.9%
>AT1G34290.1,>GhD11G339500, 6.7%,11.1%
>AT1G34290.1,>GhA02G081100, 5.9%, 9.6%
>AT1G34290.1,>GhD01G046400, 7.6%,13.0%
>AT1G34290.1,>GhA04G033800, 6.4%,10.8%
>AT1G34290.1,>GhA10G123500, 5.6%, 8.6%
>AT1G34290.1,>GhD02G031000, 6.6%,10.8%
>AT1G34290.1,>GhD05G367500, 7.7%,11.8%
>AT1G34290.1,>GhD10G133200, 7.2%,11.6%
>AT1G34290.1,>GhD02G031100, 7.7%,13.3%
>AT1G34290.1,>GhA08G051200, 7.0%,11.4%
>AT1G34290.1,>GhA05G269500, 7.0%,11.1%
>AT1G34290.1,>GhA04G049200, 5.7%, 9.5%
>AT1G34290.1,>GhA04G007600, 8.2%,12.6%
>AT1G34290.1,>GhA01G011400, 9.0%,15.8%
>AT1G34290.1,>GhD01G049600, 7.7%,14.6%
>AT1G34290.1,>GhD13G066900, 9.6%,16.9%
>AT1G34290.1,>GhA13G229300, 8.3%,13.1%
>AT1G34290.1,>GhD02G220600, 7.1%,10.9%
>AT1G34290.1,>GhD05G397800, 8.9%,13.7%
>AT1G34290.1,>GhD05G396100, 9.2%,14.7%
>AT1G34290.1,>GhA07G032400, 8.5%,13.6%
>AT1G34290.1,>GhD07G033800, 8.3%,16.0%
>AT1G34290.1,>GhD02G030300,10.3%,17.6%
>AT1G34290.1,>GhD05G397600,10.3%,15.1%
>AT1G34290.1,>GhD02G131200,11.1%,15.9%
>AT1G34290.1,>GhA10G019500, 9.2%,15.8%
>AT1G34290.1,>GhD09G084700,10.5%,15.8%
>AT1G34290.1,>GhD10G028400,10.2%,16.5%
>AT1G34290.1,>GhD11G147600, 7.7%,12.9%
>AT1G34290.1,>GhA09G089700,11.0%,16.2%
>AT1G34290.1,>GhA03G115900,10.4%,15.1%
>AT1G34290.1,>GhA05G085800,10.5%,16.9%
>AT1G34290.1,>GhA05G396900,11.1%,18.9%
>AT1G34290.1,>GhD05G097500,11.1%,17.6%
>AT1G34290.1,>GhD04G021200,11.5%,18.9%
>AT1G34290.1,>GhD05G395100,12.2%,17.2%
>AT1G34290.1,>GhA02G024800,10.8%,17.7%
>AT1G34290.1,>GhA06G154300,12.1%,22.3%
>AT1G34290.1,>GhA05G139400,10.4%,20.1%
>AT1G34290.1,>GhA04G034300,13.0%,21.4%
>AT1G34290.1,>GhA04G008600,16.0%,25.0%
>AT1G34290.1,>GhA08G221500,15.6%,27.0%
>AT1G34290.1,>GhA04G034600,15.9%,23.8%
>AT1G34290.1,>GhA07G096900,15.2%,22.4%
>AT1G34290.1,>GhD05G155100,19.4%,32.4%
>AT1G34290.1,>GhD10G138600,22.3%,34.0%
>AT1G34290.1,>GhA07G216400,16.0%,26.1%
>AT1G34290.1,>GhD02G030600,17.9%,31.1%
>AT1G34290.1,>GhD02G078300,16.8%,27.2%
>AT1G34290.1,>GhD05G396200,18.8%,28.0%
>AT1G34290.1,>GhD01G010800,18.3%,30.4%
>AT1G34290.1,>GhA04G048600,14.9%,24.2%
>AT1G34290.1,>GhA07G216700,17.6%,25.6%
>AT1G34290.1,>GhD02G030200,18.8%,30.7%
>AT1G34290.1,>GhA01G053700,16.3%,31.3%
>AT1G34290.1,>GhA04G008300, 5.8%, 9.2%
>AT1G34290.1,>GhD02G032100, 5.5%, 9.6%
>AT5G25910.1,>GhA03G106700,12.5%,18.4%
>AT5G25910.1,>GhD01G046100,15.4%,23.8%
>AT5G25910.1,>GhA02G156900,12.2%,19.5%
>AT5G25910.1,>GhA02G180200,22.5%,31.3%
>AT5G25910.1,>GhD06G224500,11.5%,17.7%
>AT5G25910.1,>GhA03G076200,11.5%,19.1%
>AT5G25910.1,>GhA03G127200,19.1%,28.1%
>AT5G25910.1,>GhA04G007800,15.5%,23.5%
>AT5G25910.1,>GhD01G092200,15.2%,22.6%
>AT5G25910.1,>GhA04G008400,13.5%,19.4%
>AT5G25910.1,>GhD05G389300,13.2%,19.5%
>AT5G25910.1,>GhD05G398200,13.4%,18.6%
>AT5G25910.1,>GhA04G129800,15.5%,22.1%
>AT5G25910.1,>GhD04G025800,16.6%,24.5%
>AT5G25910.1,>GhA05G008200,11.7%,18.0%
>AT5G25910.1,>GhA05G397500,16.4%,25.3%
>AT5G25910.1,>GhD11G221500,21.8%,31.0%
>AT5G25910.1,>GhD09G178000,10.0%,15.9%
>AT5G25910.1,>GhA06G196800,12.9%,19.8%
>AT5G25910.1,>GhD08G020700,13.2%,19.8%
>AT5G25910.1,>GhD08G021100,13.7%,21.6%
>AT5G25910.1,>GhA07G164200,24.4%,39.1%
>AT5G25910.1,>GhD08G025300,13.3%,19.8%
>AT5G25910.1,>GhA07G194800,13.5%,20.2%
>AT5G25910.1,>GhD08G025400,13.9%,20.3%
>AT5G25910.1,>GhA08G025800,16.2%,23.2%
>AT5G25910.1,>GhD13G171600,11.5%,17.2%
>AT5G25910.1,>GhA08G245600,11.7%,18.9%
>AT5G25910.1,>GhD10G132600, 9.0%,13.7%
>AT5G25910.1,>GhA09G028900,17.2%,23.8%
>AT5G25910.1,>GhD10G132400, 9.4%,14.6%
>AT5G25910.1,>GhA09G136100,18.8%,29.4%
>AT5G25910.1,>GhD03G032100,22.1%,30.7%
>AT5G25910.1,>GhA10G027700,62.8%,75.7%
>AT5G25910.1,>GhD11G337700,12.8%,20.2%
>AT5G25910.1,>GhA10G140000,11.7%,17.6%
>AT5G25910.1,>GhD04G169800,15.1%,21.2%
>AT5G25910.1,>GhD05G346300, 8.7%,13.0%
